Timestamp,Shelby ABB-521 Frequency Delta (dF/dt),Shelby ABB-521 Digital Value 1,Shelby ABB-521 Status Flags,Shelby ABB-521 Frequency
01-Sep-2022 01:32:53.233,0.46,0.0,8228.0,59.958
01-Sep-2022 01:32:53.266,0.47,0.0,8228.0,59.958
01-Sep-2022 01:32:53.300,-0.61,0.0,8228.0,59.962
01-Sep-2022 01:32:53.333,-0.18,0.0,8228.0,59.969
01-Sep-2022 01:32:53.366,-0.17,0.0,8228.0,59.952
01-Sep-2022 01:32:53.400,0.24,0.0,8228.0,59.967
01-Sep-2022 01:32:53.433,0.02,0.0,8228.0,59.964
01-Sep-2022 01:32:53.466,-0.3,0.0,8228.0,59.964
01-Sep-2022 01:32:53.500,-0.34,0.0,8228.0,59.961
01-Sep-2022 01:32:53.533,-0.71,0.0,8228.0,59.969
01-Sep-2022 01:32:53.566,0.2,0.0,8228.0,59.959
01-Sep-2022 01:32:53.600,0.43,0.0,8228.0,59.959
01-Sep-2022 01:32:53.633,-0.07,0.0,8228.0,59.976
01-Sep-2022 01:32:53.666,-0.74,0.0,8228.0,59.957
01-Sep-2022 01:32:53.700,-0.55,0.0,8228.0,59.963
01-Sep-2022 01:32:53.733,-0.26,0.0,8228.0,59.97
01-Sep-2022 01:32:53.766,1.08,0.0,8228.0,59.963
01-Sep-2022 01:32:53.800,-0.26,0.0,8228.0,59.964
01-Sep-2022 01:32:53.833,-0.7,0.0,8228.0,59.959
01-Sep-2022 01:32:53.866,-0.52,0.0,8228.0,59.962
01-Sep-2022 01:32:53.900,-0.05,0.0,8228.0,59.965
01-Sep-2022 01:32:53.933,0.14,0.0,8228.0,59.965
01-Sep-2022 01:32:53.966,0.51,0.0,8228.0,59.967
01-Sep-2022 01:32:54.000,0.11,0.0,8228.0,59.966
01-Sep-2022 01:32:54.033,-0.75,0.0,8228.0,59.964
01-Sep-2022 01:32:54.066,0.85,0.0,8228.0,59.964
01-Sep-2022 01:32:54.100,-0.77,0.0,8228.0,59.965
01-Sep-2022 01:32:54.133,1.92,0.0,8228.0,59.97
01-Sep-2022 01:32:54.166,0.59,0.0,8228.0,59.958
01-Sep-2022 01:32:54.200,0.0,0.0,8228.0,59.963
01-Sep-2022 01:32:54.233,-0.46,0.0,8228.0,59.97
01-Sep-2022 01:32:54.266,-0.11,0.0,8228.0,59.969
01-Sep-2022 01:32:54.300,-1.07,0.0,8228.0,59.959
01-Sep-2022 01:32:54.333,0.3,0.0,8228.0,59.972
01-Sep-2022 01:32:54.366,1.71,0.0,8228.0,59.967
01-Sep-2022 01:32:54.400,1.47,0.0,8228.0,59.967
01-Sep-2022 01:32:54.433,0.14,0.0,8228.0,59.956
01-Sep-2022 01:32:54.466,-0.76,0.0,8228.0,59.971
01-Sep-2022 01:32:54.500,0.04,0.0,8228.0,59.967
01-Sep-2022 01:32:54.533,0.0,0.0,8228.0,59.969
01-Sep-2022 01:32:54.566,0.27,0.0,8228.0,59.968
01-Sep-2022 01:32:54.600,-0.47,0.0,8228.0,59.956
01-Sep-2022 01:32:54.633,-0.51,0.0,8228.0,59.971
01-Sep-2022 01:32:54.666,0.14,0.0,8228.0,59.978
01-Sep-2022 01:32:54.700,0.18,0.0,8228.0,59.974
01-Sep-2022 01:32:54.733,-0.65,0.0,8228.0,59.957
01-Sep-2022 01:32:54.766,-1.0,0.0,8228.0,59.964
01-Sep-2022 01:32:54.800,0.51,0.0,8228.0,59.969
01-Sep-2022 01:32:54.833,-0.46,0.0,8228.0,59.962
01-Sep-2022 01:32:54.866,-0.34,0.0,8228.0,59.963
01-Sep-2022 01:32:54.900,1.14,0.0,8228.0,59.967
01-Sep-2022 01:32:54.933,0.2,0.0,8228.0,59.963
01-Sep-2022 01:32:54.966,-0.78,0.0,8228.0,59.963
01-Sep-2022 01:32:55.000,0.03,0.0,8228.0,59.971
01-Sep-2022 01:32:55.033,0.07,0.0,8228.0,59.958
01-Sep-2022 01:32:55.066,0.26,0.0,8228.0,59.97
01-Sep-2022 01:32:55.100,0.24,0.0,8228.0,59.959
01-Sep-2022 01:32:55.133,0.76,0.0,8228.0,59.965
01-Sep-2022 01:32:55.166,0.31,0.0,8228.0,59.961
01-Sep-2022 01:32:55.200,-0.43,0.0,8228.0,59.962
01-Sep-2022 01:32:55.233,0.68,0.0,8228.0,59.963
01-Sep-2022 01:32:55.266,0.0,0.0,8228.0,59.964
01-Sep-2022 01:32:55.300,-0.12,0.0,8228.0,59.966
01-Sep-2022 01:32:55.333,0.55,0.0,8228.0,59.965
01-Sep-2022 01:32:55.366,-0.26,0.0,8228.0,59.963
01-Sep-2022 01:32:55.400,0.17,0.0,8228.0,59.966
01-Sep-2022 01:32:55.433,-0.71,0.0,8228.0,59.964
01-Sep-2022 01:32:55.466,0.32,0.0,8228.0,59.968
01-Sep-2022 01:32:55.500,-0.28,0.0,8228.0,59.967
01-Sep-2022 01:32:55.533,0.66,0.0,8228.0,59.966
01-Sep-2022 01:32:55.566,0.02,0.0,8228.0,59.966
01-Sep-2022 01:32:55.600,0.11,0.0,8228.0,59.961
01-Sep-2022 01:32:55.633,1.52,0.0,8228.0,59.966
